Address,Area,Year,Number Of Room,Price,Price per meter,Floor,Elevator,Parking,Warehouse
سازمان برنامه,70,1390,2,2540000000,36286000,4,1,1,1
ستارخان,100,1392,2,3564000000,35640000,1,1,1,1
پردیس,58,1392,1,670000000,11552000,4,1,0,1
باغ فیض,85,1399,2,3700000000,43529000,4,1,1,1
مجیدیه,62,1390,1,1800000000,29032000,4,1,1,1
کوی فردوس,65,1381,2,2220000000,34154000,0,0,1,1
جیحون,45,1383,1,1100000000,24444000,1,0,0,0
شهران شمالی,72,1385,2,2750000000,38194000,5,1,1,1
جیحون,78,1399,2,1880000000,24103000,2,1,1,1
یافت‌آباد,45,1384,1,545000000,12111000,1,0,0,1
دریا,125,1396,2,9750000000,78000000,3,1,1,1
جیحون,78,1395,2,2200000000,28205000,2,1,1,1
سیدخندان,118,1384,2,5000000000,42373000,3,1,1,1
یوسف‌آباد,120,1397,3,7500000000,62500000,4,1,1,1
فرمانیه,115,1387,3,7500000000,65217000,4,1,1,1
اندیشه,109,1392,2,1200000000,11009000,5,1,1,1
ارم,94,1397,2,3450000000,36702000,2,1,1,1
نیاوران,150,1396,3,10500000000,70000000,3,1,1,1
سعادت‌آباد,148,1397,3,14800000000,100000000,1,1,1,1
پیروزی,40,1385,1,880000000,22000000,3,0,0,1
سازمان برنامه,70,1395,2,2900000000,41429000,1,1,1,1
شمس‌آباد,105,1393,2,3800000000,36190000,3,1,1,1
حکیمیه,105,1399,2,3360000000,32000000,4,1,1,1
نیرو هوایی,55,1381,1,1250000000,22727000,3,1,0,1
کوهک,125,1394,2,3750000000,30000000,9,1,1,1
جنت‌آباد جنوبی,77,1397,2,3310000000,42987000,5,1,1,1
پردیس,87,1400,2,580000000,6667000,0,1,0,1
تهران‌ویلا,103,1398,2,4900000000,47573000,4,1,1,1
جی,75,1397,2,1540000000,20533000,1,1,1,1
اکباتان,138,1371,3,5800000000,42029000,1,1,0,0
خانی‌آباد نو,63,1393,2,1130000000,17937000,4,0,0,1
پیروزی,42,1394,1,1130000000,26905000,4,1,1,0
شهرک غرب,135,1386,3,5950000000,44074000,3,0,1,1
جلفا,117,1391,2,6400000000,54701000,4,1,1,1
تهرانپارس غربی,80,1380,2,2350000000,29375000,3,0,1,1
ستارخان,55,1392,1,2300000000,41818000,3,1,1,0
شمس‌آباد,65,1390,2,2800000000,43077000,3,1,1,1
سعادت‌آباد,150,1382,3,8300000000,55333000,3,1,1,1
پونک,61,1388,2,2000000000,32787000,1,0,1,0
کوی فردوس,100,1388,2,3500000000,35000000,5,1,1,1
جمهوری,100,1400,2,430000000,4300000,10,1,1,1
حکمت,98,1390,2,5900000000,60204000,2,1,1,1
سازمان برنامه,50,1388,1,1830000000,36600000,4,1,1,1
قیطریه,110,1394,2,8000000000,72727000,5,1,1,1
دروس,180,1400,3,9900000000,55000000,7,1,1,1
دریاچه شهدای خلیج فارس,125,1400,2,2875000000,23000000,2,1,1,1
پاسداران,110,1388,2,6300000000,57273000,1,1,1,1
دولت‌آباد,126,1394,2,2800000000,22222000,1,1,1,1
فرمانیه,330,1375,4,31200000000,94545000,5,1,1,1
شهران شمالی,111,1391,2,3950000000,35586000,3,1,1,1
جنت‌آباد مرکزی,52,1375,1,2020000000,38846000,0,0,1,1
نجات اللهی,67,1370,1,1550000000,23134000,1,0,0,0
مسعودیه,145,1400,3,3000000000,20690000,4,1,1,0
صد دستگاه,85,1400,2,2600000000,30588000,1,1,1,1
شهرک سینمایی,92,1400,2,2320000000,25217000,2,1,1,1
ولنجک,157,1381,3,14915000000,95000000,4,1,1,1
اندیشه,59,1393,2,708000000,12000000,1,0,0,1
پرند,78,1391,2,440000000,5641000,3,1,0,1
سعادت‌آباد,145,1398,3,16675000000,115000000,6,1,1,1
نعمت‌آباد,50,1392,1,550000000,11000000,3,0,0,0
مشیریه,73,1387,2,1130000000,15479000,4,0,0,0
اندیشه,78,1388,2,720000000,9231000,2,1,1,1
پرند,62,1395,1,360000000,5806000,2,1,0,1
فرمانیه,180,1400,3,16800000000,93333000,2,1,1,1
پونک,62,1385,2,2100000000,33871000,1,1,1,1
اباذر,140,1395,3,7200000000,51429000,2,1,1,1
پردیس,108,1398,2,980000000,9074000,1,1,1,1
چیتگر,106,1400,2,2700000000,25472000,16,1,1,1
کوی فردوس,110,1400,2,3950000000,35909000,5,1,1,1
اندیشه,70,1395,2,774000000,11057000,3,1,1,1
جلفا,111,1371,2,4500000000,40541000,1,0,0,0
جی,81,1400,2,1680000000,20741000,3,1,1,1
نواب,48,1399,1,1200000000,25000000,2,1,0,1
مرزداران,100,1400,2,6200000000,62000000,3,1,1,1
تهران‌نو,168,1400,3,5300000000,31548000,2,1,1,1
بهار,54,1400,1,2450000000,45370000,2,1,1,1
جیحون,58,1386,1,1100000000,18966000,2,0,0,0
چیتگر,125,1395,2,4250000000,34000000,13,1,1,1
قلهک,140,1371,2,7100000000,50714000,1,0,1,1
شهر ری - استخر,96,1397,2,2020000000,21042000,2,1,1,1
سپهر,106,1399,2,9250000000,87264000,9,1,1,1
تجریش,80,1375,2,5300000000,66250000,4,1,1,1
پاسداران,150,1400,3,13700000000,91333000,2,1,1,1
پاسداران,92,1400,2,4700000000,51087000,2,1,1,1
استاد معین,53,1394,1,1200000000,22642000,4,1,1,1
بهارستان,100,1400,2,800000000,8000000,2,1,0,1
کوی هفدهم شهریور,78,1381,2,1053000000,13500000,4,0,0,1
امیرآباد,96,1394,2,5300000000,55208000,2,1,1,1
پاکدشت,80,1389,1,345000000,4312000,1,0,0,1
کوی فردوس,74,1398,2,2950000000,39865000,2,1,1,1
شمس‌آباد,98,1394,2,3900000000,39796000,4,1,1,1
شهرک غرب,170,1380,3,11900000000,70000000,1,1,1,1
جنت‌آباد شمالی,86,1395,2,3700000000,43023000,3,1,1,1
دانشگاه شریف,66,1385,1,2280000000,34545000,0,1,1,1
امامزاده حسن(ع),50,1395,1,920000000,18400000,3,1,1,1
ستارخان,149,1399,3,6000000000,40268000,1,1,1,1
پرند,75,1397,2,650000000,8667000,7,1,1,1
سوهانک,75,1385,2,3580000000,47733000,3,1,1,1
توحید,107,1370,2,2700000000,25234000,3,0,0,1
جی,40,1392,1,790000000,19750000,2,1,0,0
اقدسیه,120,1388,2,7000000000,58333000,9,1,1,1
